# Bankcode → BIC für IBAN-Länder, deren Bankcode NICHT im BIC steckt (anders als NL).
# Format: Land;Bankcode;BIC;Bankname   — Bankcode ohne führende Nullen.
#
# Diese Datei enthält nur Quellen, deren Bedingungen die Weitergabe erlauben:
#
#   AT  Oesterreichische Nationalbank — SEPA-Zahlungsverkehrsverzeichnis
#       https://www.oenb.at/docroot/downloads_observ/sepa-zv-vz_gesamt.csv
#       © OeNB, Lizenz CC BY 4.0 (IWG 2022) — Weitergabe und Bearbeitung erlaubt,
#       auch kommerziell, unter Namensnennung.
#
#   BE  Nationale Bank van België / Banque nationale de Belgique
#       https://www.nbb.be/doc/be/be/protocol/full_list_current.xlsx
#       © NBB — "This information may be distributed, provided it is accurately
#       presented and the NBB is cited as the source."
#
# CH und LU liegen NICHT bei: SIX Interbank Clearing untersagt die Weitergabe
# ("may not be reproduced or reused in any way"), die ABBL erlaubt nur die
# unveränderte Nutzung. Beide holt bin/update-bankcodes.php lokal nach —
# das Ergebnis landet in iban-bankcode-bic.local.csv (nicht im Repository).
AT;33054;RLBBAT2E116;Raiffeisenbank Frauenkirchen-Mönchhof-Podersdorf am See eGen
AT;33055;RLBBAT2E012;Raiffeisenbank Neusiedlersee-Hügelland eGen
AT;33058;RLBBAT2E010;Raiffeisenbank Region Deutschkreutz-Horitschon eGen
AT;33063;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33065;RLBBAT2E065;Raiffeisenbank Burgenland Mitte eGen
AT;33067;RLBBAT2E125;Raiffeisenbezirksbank Oberwart eGen
AT;33071;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33072;RLBBAT2E072;Raiffeisenbank Region Parndorf - Weiden am See eGen
AT;33074;RLBBAT2E116;Raiffeisenbank Frauenkirchen-Mönchhof-Podersdorf am See eGen
AT;33078;RLBBAT2E078;Raiffeisenbank Purbach eGen
AT;33085;RLBBAT2E012;Raiffeisenbank Neusiedlersee-Hügelland eGen
AT;33090;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33092;RLBBAT2E012;Raiffeisenbank Neusiedlersee-Hügelland eGen
AT;33104;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33106;RLBBAT2E072;Raiffeisenbank Region Parndorf - Weiden am See eGen
AT;33114;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33116;RLBBAT2E116;Raiffeisenbank Frauenkirchen-Mönchhof-Podersdorf am See eGen
AT;33118;RLBBAT2E038;Raiffeisen Bezirksbank Neusiedl Ost eGen
AT;33124;RLBBAT2E065;Raiffeisenbank Burgenland Mitte eGen
AT;33125;RLBBAT2E125;Raiffeisenbezirksbank Oberwart eGen
AT;33135;RLBBAT2EXXX;Raiffeisenlandesbank Burgenland und Revisionsverband eGen
AT;34000;RZOOAT2LXXX;Raiffeisenlandesbank Oberösterreich Aktiengesellschaft
AT;34016;RZOOAT2L016;Raiffeisenbank Aspach-Wildenau eGen
AT;34030;RZOOAT2L030;Raiffeisenbank Region Altheim eGen
AT;34060;RZOOAT2L060;Raiffeisenbank Region Braunau eGen
AT;34068;RZOOAT2L068;Raiffeisenbank Grein eGen
AT;34075;RZOOAT2L075;Raiffeisenbank Donau-Ameisberg eGen
AT;34080;RZOOAT2L080;Raiffeisenbank Ennstal eGen
AT;34081;RZOOAT2L081;Raiffeisenbank Eberschwang-Pramet eGen
AT;34083;RZOOAT2L083;Raiffeisenbank Region Traun-Alm eGen
AT;34100;RZOOAT2L100;Raiffeisenbank Feldkirchen-Goldwörth eGen
AT;34110;RZOOAT2L110;Raiffeisenbank Region Freistadt eGen
AT;34111;RZOOAT2L111;Raiffeisenbank Region Gallneukirchen eGen
AT;34113;RZOOAT2L113;Raiffeisenbank Gampern eGen
AT;34114;RZOOAT2L114;Raiffeisenbank Steyr eGen
AT;34118;RZOOAT2L118;Raiffeisenbank Geretsberg eGen
AT;34126;RZOOAT2L080;Raiffeisenbank Ennstal eGen
AT;34127;RZOOAT2L127;Raiffeisenbank Almtal eGen
AT;34129;RZOOAT2L129;Raiffeisenbank Gunskirchen eGen
AT;34135;RZOOAT2L135;Raiffeisenbank Gramastetten Rodltal eGen
AT;34155;RZOOAT2L155;Raiffeisenbank Handenberg - St. Georgen a. F. eGen
AT;34157;RZOOAT2L560;Raiffeisenbank Region Sierning-Enns eGen
AT;34160;RZOOAT2L410;Raiffeisenbank Region Rohrbach eGen
AT;34161;RZOOAT2L111;Raiffeisenbank Region Gallneukirchen eGen
AT;34165;RZOOAT2L491;Raiffeisenbank Pyhrn-Priel eGen
AT;34170;RZOOAT2L276;Raiffeisenbank Linz-Land West eGen
AT;34180;RZOOAT2L180;Raiffeisenbank Region Eferding eGen
AT;34200;RZOOAT2L200;Raiffeisenbank Innkreis Mitte eGen
AT;34214;RZOOAT2L214;Raiffeisenbank Kematen-Neuhofen eGen
AT;34226;RZOOAT2L226;Raiffeisenbank Kleinmünchen/Linz eGen
AT;34231;RZOOAT2L231;Raiffeisenbank Kollerschlag eGen
AT;34233;RZOOAT2L380;Raiffeisenbank Region Kirchdorf eGen
AT;34234;RZOOAT2L680;Raiffeisenbank Wels eGen
AT;34250;RZOOAT2L250;Raiffeisenbank Region Hausruck eGen
AT;34276;RZOOAT2L276;Raiffeisenbank Linz-Land West eGen
AT;34277;RZOOAT2L277;Raiffeisenbank Region Bad Leonfelden eGen
AT;34284;RZOOAT2L450;Raiffeisenbank Region Ried i.I. eGen
AT;34290;RZOOAT2L290;Raiffeisenbank Lochen am See eGen
AT;34300;RZOOAT2L300;Raiffeisenbank Region Neufelden eGen
AT;34303;RZOOAT2L303;Raiffeisenbank Mattigtal eGen
AT;34312;RZOOAT2L312;Raiffeisenbank Maria Schmolln-St. Johann eGen
AT;34313;RZOOAT2L736;Raiffeisenbank Region Grieskirchen eGen
AT;34318;RZOOAT2L380;Raiffeisenbank Region Kirchdorf eGen
AT;34321;RZOOAT2L380;Raiffeisenbank Region Kirchdorf eGen
AT;34322;RZOOAT2L322;Raiffeisenbank Mondseeland eGen
AT;34330;RZOOAT2L330;Raiffeisenbank Mühlviertler Alm eGen
AT;34356;RZOOAT2L523;Raiffeisenbank Attergau eGen
AT;34361;RZOOAT2L300;Raiffeisenbank Region Neufelden eGen
AT;34362;RZOOAT2L380;Raiffeisenbank Region Kirchdorf eGen
AT;34363;RZOOAT2L363;Raiffeisenbank Attersee-Süd eGen
AT;34370;RZOOAT2L370;Raiffeisenbank Oberes Innviertel eGen
AT;34380;RZOOAT2L380;Raiffeisenbank Region Kirchdorf eGen
AT;34383;RZOOAT2L135;Raiffeisenbank Gramastetten Rodltal eGen
AT;34390;RZOOAT2L390;Raiffeisenbank Ohlsdorf eGen
AT;34400;RZOOAT2L630;Raiffeisenbank Region Schwanenstadt eGen
AT;34410;RZOOAT2L410;Raiffeisenbank Region Rohrbach eGen
AT;34420;RZOOAT2L330;Raiffeisenbank Mühlviertler Alm eGen
AT;34427;RZOOAT2L380;Raiffeisenbank Region Kirchdorf eGen
AT;34430;RZOOAT2L129;Raiffeisenbank Gunskirchen eGen
AT;34434;RZOOAT2L434;Raiffeisenbank Pöndorf - Frankenmarkt eGen
AT;34437;RZOOAT2L437;Raiffeisenbank Prambachkirchen eGen
AT;34438;RZOOAT2L081;Raiffeisenbank Eberschwang-Pramet eGen
AT;34442;RZOOAT2L442;Raiffeisenbank Region Peuerbach eGen
AT;34450;RZOOAT2L450;Raiffeisenbank Region Ried i.I. eGen
AT;34455;RZOOAT2L455;Raiffeisenbank Region Schärding eGen
AT;34460;RZOOAT2L460;Raiffeisenbank Aist eGen
AT;34475;RZOOAT2L111;Raiffeisenbank Region Gallneukirchen eGen
AT;34481;RZOOAT2L380;Raiffeisenbank Region Kirchdorf eGen
AT;34491;RZOOAT2L491;Raiffeisenbank Pyhrn-Priel eGen
AT;34510;RZOOAT2L510;Raiffeisenbank Salzkammergut eGen
AT;34521;RZOOAT2L442;Raiffeisenbank Region Peuerbach eGen
AT;34522;RZOOAT2L522;Raiffeisenbank St.Florian am Inn eGen
AT;34523;RZOOAT2L523;Raiffeisenbank Attergau eGen
AT;34530;RZOOAT2L530;Raiffeisenbank St. Marien eGen
AT;34535;RZOOAT2L300;Raiffeisenbank Region Neufelden eGen
AT;34540;RZOOAT2L540;Raiffeisenbank St. Roman eGen
AT;34543;RZOOAT2L114;Raiffeisenbank Steyr eGen
AT;34545;RZOOAT2L545;Raiffeisenbank Inneres Salzkammergut eGen
AT;34560;RZOOAT2L560;Raiffeisenbank Region Sierning-Enns eGen
AT;34606;RZOOAT2L380;Raiffeisenbank Region Kirchdorf eGen
AT;34608;RZOOAT2L608;Raiffeisenbank Attersee-Nord eGen
AT;34613;RZOOAT2L460;Raiffeisenbank Aist eGen
AT;34630;RZOOAT2L630;Raiffeisenbank Region Schwanenstadt eGen
AT;34633;RZOOAT2L633;Raiffeisenbank Steinbach-Grünburg eGen
AT;34637;RZOOAT2L777;Raiffeisenbank Perg eGen
AT;34661;RZOOAT2L060;Raiffeisenbank Region Braunau eGen
AT;34669;RZOOAT2L669;Raiffeisenbank Timelkam-Lenzing-Puchkirchen eGen
AT;34680;RZOOAT2L680;Raiffeisenbank Wels eGen
AT;34710;RZOOAT2L710;Raiffeisenbank Region Vöcklabruck eGen
AT;34732;RZOOAT2L732;Raiffeisenbank Walding-Ottensheim eGen
AT;34735;RZOOAT2L450;Raiffeisenbank Region Ried i.I. eGen
AT;34736;RZOOAT2L736;Raiffeisenbank Region Grieskirchen eGen
AT;34738;RZOOAT2L738;Raiffeisenbank Wartberg an der Krems eGen
AT;34741;RZOOAT2L741;Raiffeisenbank Weißkirchen a.d. Traun eGen
AT;34747;RZOOAT2L747;Raiffeisenbank Weyer eGen
AT;34750;RZOOAT2L083;Raiffeisenbank Region Traun-Alm eGen
AT;34770;RZOOAT2L770;Raiffeisenbank Wels Süd eGen
AT;34777;RZOOAT2L777;Raiffeisenbank Perg eGen
AT;34796;RZOOAT2LXXX;Raiffeisenlandesbank Oberösterreich Aktiengesellschaft
AT;34920;RZOOAT2LXXX;Raiffeisenlandesbank Oberösterreich Aktiengesellschaft
AT;34921;RZOOAT2LXXX;Raiffeisenlandesbank Oberösterreich Aktiengesellschaft
AT;34922;RZOOAT2LXXX;Raiffeisenlandesbank Oberösterreich Aktiengesellschaft
AT;34923;RZOOAT2LXXX;Raiffeisenlandesbank Oberösterreich Aktiengesellschaft
AT;34950;RZOOAT2LXXX;Raiffeisenlandesbank Oberösterreich Aktiengesellschaft
AT;34955;RZOOAT2LXXX;Raiffeisenlandesbank Oberösterreich Aktiengesellschaft
AT;35000;RVSAAT2SXXX;Raiffeisenverband Salzburg eGen
AT;35001;RVSAAT2S001;Raiffeisenbank Lammertal eGen
AT;35003;RVSAAT2S053;Raiffeisenbank Pinzgau Mitte eGen
AT;35004;RVSAAT2S004;Raiffeisenbank Altenmarkt-Flachau-Eben eGen
AT;35005;RVSAAT2S018;Raiffeisenbank Untersberg eGen
AT;35006;RVSAAT2S001;Raiffeisenbank Lammertal eGen
AT;35007;RVSAAT2S007;Raiffeisenbank Anthering - Elixhausen eGen
AT;35008;RVSAAT2S015;Raiffeisenbank Flachgau Mitte eGen
AT;35009;RVSAAT2S047;Raiffeisenbank Salzburger Seenland eGen
AT;35010;RVSAAT2S055;Raiffeisenbank Pongau Mitte eGen
AT;35011;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35012;RVSAAT2S012;Raiffeisenbank Hohe Tauern eGen
AT;35013;RVSAAT2S053;Raiffeisenbank Pinzgau Mitte eGen
AT;35014;RVSAAT2S007;Raiffeisenbank Anthering - Elixhausen eGen
AT;35015;RVSAAT2S015;Raiffeisenbank Flachgau Mitte eGen
AT;35016;RVSAAT2S016;Raiffeisenbank Faistenau-Hintersee eGen
AT;35017;RVSAAT2S017;Raiffeisenbank Golling-Scheffau-Kellau eGen
AT;35018;RVSAAT2S018;Raiffeisenbank Untersberg eGen
AT;35019;RVSAAT2S019;Raiffeisenbank Großarl-Hüttschlag eGen
AT;35020;RVSAAT2S020;Raiffeisenbank Großgmain eGen
AT;35021;RVSAAT2S021;Raiffeisenbank Wallersee eGen
AT;35022;RVSAAT2S022;Raiffeisenbank Hallein-Oberalm eGen
AT;35023;RVSAAT2S015;Raiffeisenbank Flachgau Mitte eGen
AT;35024;RVSAAT2S021;Raiffeisenbank Wallersee eGen
AT;35025;RVSAAT2S065;Raiffeisenbank Fuschlsee West eGen
AT;35026;RVSAAT2S026;Raiffeisenbank Gastein eGen
AT;35027;RVSAAT2S027;Raiffeisenbank Hüttau-St. Martin eGen
AT;35028;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35029;RVSAAT2S029;Raiffeisenbank Kuchl-St. Koloman eGen
AT;35030;RVSAAT2S030;Raiffeisenbank Flachgau Nord eGen
AT;35031;RVSAAT2S053;Raiffeisenbank Pinzgau Mitte eGen
AT;35034;RVSAAT2S034;Raiffeisenbank Salzburg Liefering-Maxglan-Siezenheim eGen
AT;35035;RVSAAT2S053;Raiffeisenbank Pinzgau Mitte eGen
AT;35036;RVSAAT2S063;Raiffeisenbank Lungau eGen
AT;35037;RVSAAT2S063;Raiffeisenbank Lungau eGen
AT;35038;RVSAAT2S030;Raiffeisenbank Flachgau Nord eGen
AT;35039;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35042;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35043;RVSAAT2S012;Raiffeisenbank Hohe Tauern eGen
AT;35044;RVSAAT2S030;Raiffeisenbank Flachgau Nord eGen
AT;35045;RVSAAT2S022;Raiffeisenbank Hallein-Oberalm eGen
AT;35046;RVSAAT2S030;Raiffeisenbank Flachgau Nord eGen
AT;35047;RVSAAT2S047;Raiffeisenbank Salzburger Seenland eGen
AT;35048;RVSAAT2S012;Raiffeisenbank Hohe Tauern eGen
AT;35049;RVSAAT2S049;Raiffeisenbank Radstadt-Untertauern-Filzmoos-Forstau registrierte Genossenschaft mit beschränkter Haftung
AT;35050;RVSAAT2S063;Raiffeisenbank Lungau eGen
AT;35051;RVSAAT2S051;Raiffeisenbank Rauris-Bucheben eGen
AT;35052;RVSAAT2S052;Raiffeisenbank Saalbach-Hinterglemm-Viehhofen eGen
AT;35053;RVSAAT2S053;Raiffeisenbank Pinzgau Mitte eGen
AT;35054;RVSAAT2S034;Raiffeisenbank Salzburg Liefering-Maxglan-Siezenheim eGen
AT;35055;RVSAAT2S055;Raiffeisenbank Pongau Mitte eGen
AT;35056;RVSAAT2S056;Raiffeisenbank St.Gilgen-Fuschl-Strobl eGen
AT;35057;RVSAAT2S069;Raiffeisenbank St. Johann-Wagrain-Kleinarl eGen
AT;35058;RVSAAT2S029;Raiffeisenbank Kuchl-St. Koloman eGen
AT;35060;RVSAAT2S060;Raiffeisenbank St. Martin-Lofer-Weißbach eGen
AT;35061;RVSAAT2S063;Raiffeisenbank Lungau eGen
AT;35062;RVSAAT2S062;Raiffeisenbank Straßwalchen eGen
AT;35063;RVSAAT2S063;Raiffeisenbank Lungau eGen
AT;35064;RVSAAT2S064;Raiffeisenbank Taxenbach eGen
AT;35065;RVSAAT2S065;Raiffeisenbank Fuschlsee West eGen
AT;35066;RVSAAT2S066;Raiffeisenbank Unken eGen
AT;35068;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35069;RVSAAT2S069;Raiffeisenbank St. Johann-Wagrain-Kleinarl eGen
AT;35070;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35071;RVSAAT2S071;Raiffeisenbank Wals-Himmelreich eGen
AT;35072;RVSAAT2S055;Raiffeisenbank Pongau Mitte eGen
AT;35075;RVSAAT2S047;Raiffeisenbank Salzburger Seenland eGen
AT;35101;RVSAAT2S001;Raiffeisenbank Lammertal eGen
AT;35104;RVSAAT2S004;Raiffeisenbank Altenmarkt-Flachau-Eben eGen
AT;35105;RVSAAT2S018;Raiffeisenbank Untersberg eGen
AT;35108;RVSAAT2S015;Raiffeisenbank Flachgau Mitte eGen
AT;35109;RVSAAT2S047;Raiffeisenbank Salzburger Seenland eGen
AT;35110;RVSAAT2S055;Raiffeisenbank Pongau Mitte eGen
AT;35111;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35112;RVSAAT2S012;Raiffeisenbank Hohe Tauern eGen
AT;35115;RVSAAT2S015;Raiffeisenbank Flachgau Mitte eGen
AT;35118;RVSAAT2S018;Raiffeisenbank Untersberg eGen
AT;35119;RVSAAT2S019;Raiffeisenbank Großarl-Hüttschlag eGen
AT;35121;RVSAAT2S021;Raiffeisenbank Wallersee eGen
AT;35122;RVSAAT2S022;Raiffeisenbank Hallein-Oberalm eGen
AT;35125;RVSAAT2S065;Raiffeisenbank Fuschlsee West eGen
AT;35126;RVSAAT2S026;Raiffeisenbank Gastein eGen
AT;35127;RVSAAT2S027;Raiffeisenbank Hüttau-St. Martin eGen
AT;35130;RVSAAT2S030;Raiffeisenbank Flachgau Nord eGen
AT;35139;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35147;RVSAAT2S047;Raiffeisenbank Salzburger Seenland eGen
AT;35149;RVSAAT2S049;Raiffeisenbank Radstadt-Untertauern-Filzmoos-Forstau registrierte Genossenschaft mit beschränkter Haftung
AT;35152;RVSAAT2S052;Raiffeisenbank Saalbach-Hinterglemm-Viehhofen eGen
AT;35154;RVSAAT2S034;Raiffeisenbank Salzburg Liefering-Maxglan-Siezenheim eGen
AT;35155;RVSAAT2S055;Raiffeisenbank Pongau Mitte eGen
AT;35156;RVSAAT2S056;Raiffeisenbank St.Gilgen-Fuschl-Strobl eGen
AT;35160;RVSAAT2S060;Raiffeisenbank St. Martin-Lofer-Weißbach eGen
AT;35161;RVSAAT2S063;Raiffeisenbank Lungau eGen
AT;35163;RVSAAT2S063;Raiffeisenbank Lungau eGen
AT;35164;RVSAAT2S064;Raiffeisenbank Taxenbach eGen
AT;35169;RVSAAT2S069;Raiffeisenbank St. Johann-Wagrain-Kleinarl eGen
AT;35170;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35172;RVSAAT2S055;Raiffeisenbank Pongau Mitte eGen
AT;35204;RVSAAT2S004;Raiffeisenbank Altenmarkt-Flachau-Eben eGen
AT;35212;RVSAAT2S012;Raiffeisenbank Hohe Tauern eGen
AT;35215;RVSAAT2S015;Raiffeisenbank Flachgau Mitte eGen
AT;35221;RVSAAT2S021;Raiffeisenbank Wallersee eGen
AT;35225;RVSAAT2S065;Raiffeisenbank Fuschlsee West eGen
AT;35226;RVSAAT2S026;Raiffeisenbank Gastein eGen
AT;35239;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35249;RVSAAT2S049;Raiffeisenbank Radstadt-Untertauern-Filzmoos-Forstau registrierte Genossenschaft mit beschränkter Haftung
AT;35255;RVSAAT2S055;Raiffeisenbank Pongau Mitte eGen
AT;35256;RVSAAT2S056;Raiffeisenbank St.Gilgen-Fuschl-Strobl eGen
AT;35261;RVSAAT2S063;Raiffeisenbank Lungau eGen
AT;35263;RVSAAT2S063;Raiffeisenbank Lungau eGen
AT;35272;RVSAAT2S055;Raiffeisenbank Pongau Mitte eGen
AT;35310;RVSAAT2S055;Raiffeisenbank Pongau Mitte eGen
AT;35312;RVSAAT2S012;Raiffeisenbank Hohe Tauern eGen
AT;35322;RVSAAT2S022;Raiffeisenbank Hallein-Oberalm eGen
AT;35339;RVSAAT2S039;Raiffeisenbank Oberpinzgau eGen
AT;35352;RVSAAT2S052;Raiffeisenbank Saalbach-Hinterglemm-Viehhofen eGen
AT;35361;RVSAAT2S063;Raiffeisenbank Lungau eGen
AT;35371;RVSAAT2S071;Raiffeisenbank Wals-Himmelreich eGen
AT;35404;RVSAAT2S004;Raiffeisenbank Altenmarkt-Flachau-Eben eGen
AT;35422;RVSAAT2S022;Raiffeisenbank Hallein-Oberalm eGen
AT;35452;RVSAAT2S052;Raiffeisenbank Saalbach-Hinterglemm-Viehhofen eGen
AT;35522;RVSAAT2S022;Raiffeisenbank Hallein-Oberalm eGen
AT;36000;RZTIAT22XXX;Raiffeisen-Landesbank Tirol AG
AT;36200;RZTIAT22200;Raiffeisenbank Absam-Thaur-Volders eGen
AT;36201;RZTIAT22218;Raiffeisen Regionalbank Achensee eGen
AT;36203;RZTIAT22203;Raiffeisenbank Alpbachtal eGen
AT;36207;RZTIAT22353;Raiffeisenbank Pitztal eGen
AT;36209;RZTIAT22336;Raiffeisenbank Tirol Mitte West eGen
AT;36213;RZTIAT22358;Raiffeisen Bezirksbank Kufstein eGen
AT;36215;RZTIAT22215;Raiffeisenbank Brixen im Thale eGen
AT;36216;RZTIAT22358;Raiffeisen Bezirksbank Kufstein eGen
AT;36218;RZTIAT22218;Raiffeisen Regionalbank Achensee eGen
AT;36219;RZTIAT22219;Raiffeisenbank Ehrwald-Lermoos-Biberwier eGen
AT;36220;RBRTAT22XXX;Raiffeisenbank Oberland-Reutte eGen
AT;36223;RZTIAT22358;Raiffeisen Bezirksbank Kufstein eGen
AT;36229;RZTIAT22229;Raiffeisen Regionalbank Fügen-Kaltenbach-Zell eGen
AT;36230;RZTIAT22329;Raiffeisenbank Wipptal - Stubaital Mitte eGen
AT;36232;RZTIAT22232;RaiffeisenBank Going eGen
AT;36236;RZTIAT22358;Raiffeisen Bezirksbank Kufstein eGen
AT;36240;RZTIAT22241;Raiffeisenbank Hippach-Hart eGen
AT;36241;RZTIAT22241;Raiffeisenbank Hippach-Hart eGen
AT;36245;RZTIAT22245;Raiffeisenbank Wilder Kaiser - Brixental West eGen
AT;36248;RZTIAT22248;Raiffeisenbank Arlberg Silvretta eGen
AT;36249;RZTIAT22218;Raiffeisen Regionalbank Achensee eGen
AT;36252;RZTIAT22248;Raiffeisenbank Arlberg Silvretta eGen
AT;36254;RZTIAT22263;Raiffeisenbank Kitzbühel - St. Johann eGen
AT;36260;RZTIAT22336;Raiffeisenbank Tirol Mitte West eGen
AT;36262;RZTIAT22264;Raiffeisenbank Kössen-Kirchdorf eGen
AT;36263;RZTIAT22263;Raiffeisenbank Kitzbühel - St. Johann eGen
AT;36264;RZTIAT22264;Raiffeisenbank Kössen-Kirchdorf eGen
AT;36265;RZTIAT22322;Raiffeisen Regionalbank Schwaz-Wattens eGen
AT;36267;RZTIAT22267;Raiffeisenbank Kundl-Münster eGen
AT;36268;RZTIAT22268;Raiffeisenbank im Ötztal und Umgebung eGen
AT;36269;RZTIAT22339;Raiffeisenbank Langkampfen-Thiersee eGen
AT;36272;RZTIAT22322;Raiffeisen Regionalbank Schwaz-Wattens eGen
AT;36273;RZTIAT22273;Raiffeisenbank Matrei am Brenner und Umgebung eGen
AT;36274;RZTIAT22274;Raiffeisenbank Mayrhofen und Umgebung eGen
AT;36275;RZTIAT22285;Raiffeisenbank Neustift-Mieders-Schönberg im Stubaital eGen
AT;36276;RZTIAT22336;Raiffeisenbank Tirol Mitte West eGen
AT;36279;RZTIAT22267;Raiffeisenbank Kundl-Münster eGen
AT;36281;RZTIAT22281;Raiffeisenkasse für Mutters, Natters und Kreith registrierte Genossenschaft mit beschränkter Haftung
AT;36283;RZTIAT22283;Raiffeisenbank Serfaus-Fiss-Ried-Nauders eGen
AT;36285;RZTIAT22285;Raiffeisenbank Neustift-Mieders-Schönberg im Stubaital eGen
AT;36291;RZTIAT22268;Raiffeisenbank im Ötztal und Umgebung eGen
AT;36303;RZTIAT22203;Raiffeisenbank Alpbachtal eGen
AT;36305;RBRTAT22XXX;Raiffeisenbank Oberland-Reutte eGen
AT;36306;RZTIAT22315;Raiffeisenbank Serfaus-Fiss-Ried-Nauders eGen
AT;36310;RZTIAT22310;Raiffeisenkasse Rum-Innsbruck/Arzl eGen
AT;36314;RZTIAT22314;Raiffeisenbank Seefeld-Leutasch-Reith-Scharnitz registrierte Genossenschaft mit beschränkter Haftung
AT;36315;RZTIAT22315;Raiffeisenbank Serfaus-Fiss-Ried-Nauders eGen
AT;36316;RZTIAT22268;Raiffeisenbank im Ötztal und Umgebung eGen
AT;36318;RZTIAT22245;Raiffeisenbank Wilder Kaiser - Brixental West eGen
AT;36320;RZTIAT22320;Raiffeisenkasse Schlitters, Bruck und Strass registrierte Genossenschaft mit beschränkter Haftung
AT;36322;RZTIAT22322;Raiffeisen Regionalbank Schwaz-Wattens eGen
AT;36324;RZTIAT22324;Raiffeisenbank Sölden eGen
AT;36329;RZTIAT22329;Raiffeisenbank Wipptal - Stubaital Mitte eGen
AT;36332;RZTIAT22332;Raiffeisenkasse Stumm, Stummerberg und Umgebung registrierte Genossenschaft mit beschränkter Haftung
AT;36333;RZTIAT22333;Raiffeisenbank Tannheimertal eGen
AT;36336;RZTIAT22336;Raiffeisenbank Tirol Mitte West eGen
AT;36337;RZTIAT22200;Raiffeisenbank Absam-Thaur-Volders eGen
AT;36339;RZTIAT22339;Raiffeisenbank Langkampfen-Thiersee eGen
AT;36342;RZTIAT22342;Raiffeisenbank Tux eGen
AT;36345;RBRTAT22XXX;Raiffeisenbank Oberland-Reutte eGen
AT;36347;RZTIAT22200;Raiffeisenbank Absam-Thaur-Volders eGen
AT;36349;RZTIAT22349;RaiffeisenBank St. Ulrich - Waidring eGen
AT;36351;RZTIAT22322;Raiffeisen Regionalbank Schwaz-Wattens eGen
AT;36352;RZTIAT22218;Raiffeisen Regionalbank Achensee eGen
AT;36353;RZTIAT22353;Raiffeisenbank Pitztal eGen
AT;36354;RZTIAT22245;Raiffeisenbank Wilder Kaiser - Brixental West eGen
AT;36357;RZTIAT22357;Raiffeisenbank Wildschönau eGen
AT;36358;RZTIAT22358;Raiffeisen Bezirksbank Kufstein eGen
AT;36359;RBRTAT22XXX;Raiffeisenbank Oberland-Reutte eGen
AT;36360;RZTIAT22229;Raiffeisen Regionalbank Fügen-Kaltenbach-Zell eGen
AT;36362;RZTIAT22362;Raiffeisen Regionalbank Hall in Tirol eGen
AT;36367;RZTIAT22378;Raiffeisen Regionalbank Matrei i.O. eGen
AT;36368;RZTIAT22368;Raiffeisenbank Sillian - Lienzer Talboden eGen
AT;36373;RZTIAT22368;Raiffeisenbank Sillian - Lienzer Talboden eGen
AT;36374;RZTIAT22368;Raiffeisenbank Sillian - Lienzer Talboden eGen
AT;36378;RZTIAT22378;Raiffeisen Regionalbank Matrei i.O. eGen
AT;36386;RZTIAT22386;Raiffeisenkasse Villgratental eGen
AT;36387;RZTIAT22368;Raiffeisenbank Sillian - Lienzer Talboden eGen
AT;36791;ALPEAT22XXX;Alpen Privatbank Aktiengesellschaft
AT;36990;RBRTAT22XXX;Raiffeisenbank Oberland-Reutte eGen
AT;37000;RVVGAT2BXXX;Raiffeisen Landesbank Vorarlberg mit Revisionsverband eGen
AT;37401;RVVGAT2B401;Raiffeisenbank Alberschwende eGen
AT;37402;RVVGAT2B422;Raiffeisenbank Montfort eGen
AT;37405;RVVGAT2B423;Raiffeisenbank Mittel- und Hinterbregenzerwald eGen
AT;37406;RVVGAT2B406;Raiffeisenbank Bezau-Mellau-Bizau eGen
AT;37410;RVVGAT2B468;Raiffeisenbank Bludenz-Montafon eGen
AT;37420;RVVGAT2B420;Raiffeisenbank Im Rheintal eGen
AT;37422;RVVGAT2B422;Raiffeisenbank Montfort eGen
AT;37423;RVVGAT2B423;Raiffeisenbank Mittel- und Hinterbregenzerwald eGen
AT;37424;RVVGAT2B458;RAIFFEISENBANK im Walgau eGen
AT;37429;RVVGAT2B422;Raiffeisenbank Montfort eGen
AT;37431;RVVGAT2B431;Raiffeisenbank Bodensee-Leiblachtal eGen
AT;37434;RANJAT2BXXX;Walser Raiffeisen Bank Aktiengesellschaft
