# Bankcode → BIC für IBAN-Länder, deren Bankcode NICHT im BIC steckt (anders als NL).
# Format: Land;Bankcode;BIC;Bankname   — Bankcode ohne führende Nullen.
#
# Diese Datei enthält nur Quellen, deren Bedingungen die Weitergabe erlauben:
#
#   AT  Oesterreichische Nationalbank — SEPA-Zahlungsverkehrsverzeichnis
#       https://www.oenb.at/docroot/downloads_observ/sepa-zv-vz_gesamt.csv
#       © OeNB, Lizenz CC BY 4.0 (IWG 2022) — Weitergabe und Bearbeitung erlaubt,
#       auch kommerziell, unter Namensnennung.
#
#   BE  Nationale Bank van België / Banque nationale de Belgique
#       https://www.nbb.be/doc/be/be/protocol/full_list_current.xlsx
#       © NBB — "This information may be distributed, provided it is accurately
#       presented and the NBB is cited as the source."
#
# CH und LU liegen NICHT bei: SIX Interbank Clearing untersagt die Weitergabe
# ("may not be reproduced or reused in any way"), die ABBL erlaubt nur die
# unveränderte Nutzung. Beide holt bin/update-bankcodes.php lokal nach —
# das Ergebnis landet in iban-bankcode-bic.local.csv (nicht im Repository).
AT;16380;BTVAAT22XXX;BTV Vier Länder Bank AG
AT;16390;BTVAAT22XXX;BTV Vier Länder Bank AG
AT;16400;BTVAAT22XXX;BTV Vier Länder Bank AG
AT;16410;BTVAAT22XXX;BTV Vier Länder Bank AG
AT;16420;BTVAAT22XXX;BTV Vier Länder Bank AG
AT;16430;BTVAAT22XXX;BTV Vier Länder Bank AG
AT;16440;BTVAAT22XXX;BTV Vier Länder Bank AG
AT;16450;BTVAAT22XXX;BTV Vier Länder Bank AG
AT;16460;BTVAAT22XXX;BTV Vier Länder Bank AG
AT;17000;BFKKAT2KXXX;BKS Bank AG
AT;17100;BFKKAT2KXXX;BKS Bank AG
AT;17200;BFKKAT2KXXX;BKS Bank AG
AT;17300;BFKKAT2KXXX;BKS Bank AG
AT;17400;BFKKAT2KXXX;BKS Bank AG
AT;17500;BFKKAT2KXXX;BKS Bank AG
AT;17899;BFKKAT2KXXX;BKS Bank AG
AT;18100;GEBAATWWXXX;BNP Paribas SA Niederlassung Österreich
AT;18120;PABXATW1XXX;A1 Bank AG
AT;18130;BWFBATW1XXX;Österreichische Ärzte- und Apothekerbank AG
AT;18140;CITIATWXXXX;Citibank Europe plc, Austria Branch
AT;18150;SGABATWWXXX;Société Générale Zweigniederlassung Wien
AT;18160;VBOEATWWXXX;VOLKSBANK WIEN AG
AT;18190;BAWAATWWXXX;BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft
AT;18400;BGENATWWXXX;Generali Bank AG
AT;18600;VKBLAT2LXXX;Volkskreditbank AG
AT;19001;TRBKATW2XXX;Trade Republic Bank GmbH, Branch Austria
AT;19100;DEUTATWWXXX;Deutsche Bank Aktiengesellschaft Filiale Wien
AT;19120;SPBAATWWXXX;bank99 AG
AT;19140;GUTBATWWXXX;Bank Gutmann Aktiengesellschaft
